CustomerNumber,CustomerName,Country,State,City,PlantName,MaterialNumber,BusinessLine,Category,SalesDate,SalesOrder,Volume,Revenue
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-05-21 00:00:00,32514934,450,845.99
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-05-29 00:00:00,32514961,450,845.99
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-06-08 00:00:00,32532893,450,845.99
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-06-11 00:00:00,32532905,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-06-18 00:00:00,32532934,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-07-09 00:00:00,32552591,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-07-16 00:00:00,32552629,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-07-30 00:00:00,32552687,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-08-06 00:00:00,32571880,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-08-27 00:00:00,32571977,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-09-03 00:00:00,32591951,450,838.49
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-09-10 00:00:00,32591977,450,862.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-09-18 00:00:00,32592004,450,862.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-10-01 00:00:00,32612271,450,862.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-10-15 00:00:00,32612322,450,862.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-10-22 00:00:00,32612340,450,862.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-10-29 00:00:00,32612370,450,862.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-11-19 00:00:00,32629656,450,862.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-12-10 00:00:00,32648359,450,870.35
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-01-07 00:00:00,32666594,450,870.35
